"33. СРЕДСТВА ДИСПЕТЧЕРСКОГО, ТЕХНОЛОГИЧЕСКОГО УПРАВЛЕНИЯ И СВЯЗИ"      

"Наименование оборудования" Тип "Дата ввода в эксплуатацию" "Место расположения" "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО"
"Телефонный аппарат цифровой №15 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №16 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №17 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №18 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №19 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №20 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №21 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №22 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №23 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №24 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №25 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №26 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №27 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №28 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №29 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №30 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №31 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №32 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №33 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
