"10. РАЗЪЕДИНИТЕЛИ, ОТДЕЛИТЕЛИ, КОРОТКОЗАМЫКАТЕЛИ"                   

"Напряжение, кВ" "Диспетчерское
наименование" "Тип разъединителя" "Вид (трехфазный, однофазный )" "Номинальный 
ток, А" "Инвентарный номер" "Заводской номер" Завод-изготовитель "Дата изготовления" "Дата ввода в эксплуатацию" "Тип привода" "Заводской номер привода" Ремонт   "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО" "Дата расчета ИТС" ИТС
            Вид Дата "Номер заказа АСУ ТОиР"     
 "ТР В 2192 ф.В" ELK-EB3   0209-2-14-43495 2162921 ABB 2007 01.01.2008          
 "ШР В 2192 ф.В" ELK-EB3   0209-2-14-43495 2162890 ABB 2007 01.01.2008          
 "ШР В 2192 ф.С" ELK-EB3   0209-2-14-43495 2162891 ABB 2007 01.01.2008          
 "ШР В 2192 ф.А" ELK-EB3   0209-2-14-43495 2162889 ABB 2007 01.01.2008          
 "ШР 4 сек. СВ 3-4 сек. 220 ф.С" ELK-EB3   0209-2-14-43494 2163079 ABB 2007 01.01.2008          
 "ШР 4 сек. СВ 3-4 сек. 220 ф.А" ELK-EB3   0209-2-14-43494 2163077 ABB 2007 01.01.2008          
 "ШР 4 сек. СВ 3-4 сек. 220 ф.В" ELK-EB3   0209-2-14-43494 2163078 ABB 2007 01.01.2008          
 "ШР 3 сек. СВ 3-4 сек. 220 ф.А" ELK-EB3   0209-2-14-43494 2163089 ABB 2007 01.01.2008          
 "ШР 3 сек. СВ 3-4 сек. 220 ф.С" ELK-EB3   0209-2-14-43494 2163091 ABB 2007 01.01.2008          
 "ШР 3 сек. СВ 3-4 сек. 220 ф.В" ELK-EB3   0209-2-14-43494 2163090 ABB 2007 01.01.2008          
 "ШР 2 сек. СВ 1-2 сек. 220 ф.С" ELK-EB3   0209-2-14-43493 2163100 ABB 2007 01.01.2008          
 "ШР 2 сек. СВ 1-2 сек. 220 ф.В" ELK-EB3   0209-2-14-43493 2163099 ABB 2007 01.01.2008          
 "ШР 2 сек. СВ 1-2 сек. 220 ф.А" ELK-EB3   0209-2-14-43493 2163098 ABB 2007 01.01.2008          
 "ШР 1 сек. СВ 1-2 сек. 220 ф.В" ELK-EB3   0209-2-14-43493 2163075 ABB 2007 01.01.2008          
 "ШР 1 сек. СВ 1-2 сек. 220 ф.С" ELK-EB3   0209-2-14-43493 2163076 ABB 2007 01.01.2008          
 "ШР 1 сек. СВ 1-2 сек. 220 ф.А" ELK-EB3   0209-2-14-43493 2163074 ABB 2007 01.01.2008          
 "ТР В 2173 ф.В" ELK-EB3   0209-2-14-43492 2163024 ABB 2007 01.01.2009          
 "ТР В 2173 ф.С" ELK-EB3   0209-2-14-43492 2163025 ABB 2007 01.01.2009          
 "ТР В 2173 ф.А" ELK-EB3   0209-2-14-43492 2163023 ABB 2007 01.01.2009          
 "ШР В 2173 ф.С" ELK-EB3   0209-2-14-43492 2163034 ABB 2007 01.01.2009          
 "ШР В 2173 ф.А" ELK-EB3   0209-2-14-43492 2163032 ABB 2007 01.01.2009          
 "ШР В 2173 ф.В" ELK-EB3   0209-2-14-43492 2163033 ABB 2007 01.01.2009          
 "ЛР В 2161 ф.В" ELK-EB3   0209-2-14-43491 2162867 ABB 2007 01.01.2009          
 "ЛР В 2161 ф.С" ELK-EB3   0209-2-14-43491 2162868 ABB 2007 01.01.2009          
 "ЛР В 2161 ф.А" ELK-EB3   0209-2-14-43491 2162866 ABB 2007 01.01.2009          
 "ШР В 2161 ф.В" ELK-EB3   0209-2-14-43491 2162884 ABB 2007 01.01.2009          
 "ШР В 2161 ф.С" ELK-EB3   0209-2-14-43491 2162885 ABB 2007 01.01.2009          
 "ШР В 2161 ф.А" ELK-EB3   0209-2-14-43491 2162883 ABB 2007 01.01.2009          
 "ЛР В 2153 ф.В" ELK-EB3   0209-2-14-43490 2163021 ABB 2007 01.01.2009          
 "ЛР В 2153 ф.С" ELK-EB3   0209-2-14-43490 2163022 ABB 2007 01.01.2009          
 "ЛР В 2153 ф.А" ELK-EB3   0209-2-14-43490 2163020 ABB 2007 01.01.2009          
 "ШР В 2153 ф.В" ELK-EB3   0209-2-14-43490 2163027 ABB 2007 01.01.2009          
 "ШР В 2153 ф.С" ELK-EB3   0209-2-14-43490 2163028 ABB 2007 01.01.2009          
 "ШР В 2153 ф.А" ELK-EB3   0209-2-14-43490 2163026 ABB 2007 01.01.2009          
 "ЛР В 2143 ф.В" ELK-EB3   0209-2-14-43489 2163009 ABB 2007 01.01.2009          
 "ЛР В 2143 ф.С" ELK-EB3   0209-2-14-43489 2163010 ABB 2007 01.01.2009          
 "ЛР В 2143 ф.А" ELK-EB3   0209-2-14-43489 2163008 ABB 2007 01.01.2009          
 "ШР В 2143 ф.В" ELK-EB3   0209-2-14-43489 2163015 ABB 2007 01.01.2009          
 "ШР В 2143 ф.С" ELK-EB3   0209-2-14-43489 2163016 ABB 2007 01.01.2009          
 "ШР В 2143 ф.А" ELK-EB3   0209-2-14-43489 2163014 ABB 2007 01.01.2009          
 "ТР В 2131 ф.В" ELK-EB3   0209-2-14-43488 2162878 ABB 2007 01.01.2008          
 "ТР В 2131 ф.С" ELK-EB3   0209-2-14-43488 2162879 ABB 2007 01.01.2008          
 "ТР В 2131 ф.А" ELK-EB3   0209-2-14-43488 2162877 ABB 2007 01.01.2008          
 "ШР В 2131 ф.В" ELK-EB3   0209-2-14-43488 2162918 ABB 2007 01.01.2008          
 "ШР В 2131 ф.С" ELK-EB3   0209-2-14-43488 2162919 ABB 2007 01.01.2008          
 "ШР В 2131 ф.А" ELK-EB3   0209-2-14-43488 2162917 ABB 2007 01.01.2008          
 "ЛР В 2123 ф.С" ELK-EB3   0209-2-14-43487 216300 ABB 2007 01.01.2009          
 "ЛР В 2123 ф.В" ELK-EB3   0209-2-14-43487 2163004 ABB 2007 01.01.2009          
 "ЛР В 2123 ф.А" ELK-EB3   0209-2-14-43487 2163003 ABB 2007 01.01.2009          
 "ШР В 2123 ф.А" ELK-EB3   0209-2-14-43487 2162981 ABB 2007 01.01.2009          
 "ШР В 2123 ф.С" ELK-EB3   0209-2-14-43487 2162983 ABB 2007 01.01.2009          
 "ШР В 2123 ф.В" ELK-EB3   0209-2-14-43487 2162982 ABB 2007 01.01.2009          
 "ЛР В 2121 ф.В" ELK-EB3   0209-2-14-43486 2162870 ABB 2007 01.01.2009          
 "ЛР В 2121 ф.С" ELK-EB3   0209-2-14-43486 2162871 ABB 2007 01.01.2009          
 "ЛР В 2121 ф.А" ELK-EB3   0209-2-14-43486 2162869 ABB 2007 01.01.2009          
 "ШР В 2121 ф.С" ELK-EB3   0209-2-14-43486 2162940 ABB 2007 01.01.2009          
 "ШР В 2121 ф.В" ELK-EB3   0209-2-14-43486 2162939 ABB 2007 01.01.2009          
 "ШР В 2121 ф.А" ELK-EB3   0209-2-14-43486 2162938 ABB 2007 01.01.2009          
 "ЛР В 2113 ф.А" ELK-EB3   0209-2-14-43485 2163011 ABB 2007 01.01.2008          
 "ЛР В 2113 ф.С" ELK-EB3   0209-2-14-43485 2163013 ABB 2007 01.01.2008          
 "ЛР В 2113 ф.В" ELK-EB3   0209-2-14-43485 2163012 ABB 2007 01.01.2009          
 "ШР В 2113 ф.В" ELK-EB3   0209-2-14-43485 2163006 ABB 2007 01.01.2008          
 "ШР В 2113 ф.С" ELK-EB3   0209-2-14-43485 2163007 ABB 2007 01.01.2008          
 "ШР В 2113 ф.А" ELK-EB3   0209-2-14-43485 2163005 ABB 2007 01.01.2008          
 "ТР В 2103 ф.В" ELK-EB3   0209-2-14-43484 2163001 ABB 2007 01.01.2008          
 "ТР В 2103 ф.С" ELK-EB3   0209-2-14-43484 2163002 ABB 2007 01.01.2008          
 "ТР В 2103 ф.А" ELK-EB3   0209-2-14-43484 2162999 ABB 2007 01.01.2008          
 "ШР В 2103 ф.В" ELK-EB3   0209-2-14-43484 2162979 ABB 2007 01.01.2008          
 "ШР В 2103 ф.С" ELK-EB3   0209-2-14-43484 2162980 ABB 2007 01.01.2008          
 "ШР В 2103 ф.А" ELK-EB3   0209-2-14-43484 2162978 ABB 2007 01.01.2008          
 "ТР В 2101 ф.В" ELK-EB3   0209-2-14-43483 2162915 ABB 2007 01.01.2008          
 "ТР В 2101 ф.С" ELK-EB3   0209-2-14-43483 2162916 ABB 2007 01.01.2008          
 "ТР В 2101 ф.А" ELK-EB3   0209-2-14-43483 2162914 ABB 2007 01.01.2008          
 "ШР В 2101 ф.В" ELK-EB3   0209-2-14-43483 2162881 ABB 2007 01.01.2008          
 "ШР В 2101 ф.С" ELK-EB3   0209-2-14-43483 2162882 ABB 2007 01.01.2008          
 "ШР В 2101 ф.А" ELK-EB3   0209-2-14-43483 2162880 ABB 2007 01.01.2008          
 "ТР В 293 ф.А" ELK-EB3   0209-2-14-43482 2162996 ABB 2007 01.01.2008          
 "ТР В 293 ф.С" ELK-EB3   0209-2-14-43482 2162998 ABB 2007 01.01.2008          
 "ТР В 293 ф.В" ELK-EB3   0209-2-14-43482 2162997 ABB 2007 01.01.2008          
 "ШР В 293 ф.А" ELK-EB3   0209-2-14-43482 2162984 ABB 2007 01.01.2008          
 "ШР В 293 ф.С" ELK-EB3   0209-2-14-43482 2162986 ABB 2007 01.01.2008          
 "ШР В 293 ф.В" ELK-EB3   0209-2-14-43482 2162985 ABB 2007 01.01.2008          
 "ТР В 291 ф.А" ELK-EB3   0209-2-14-43481 2162871 ABB 2007 01.01.2008          
 "ТР В 291 ф.С" ELK-EB3   0209-2-14-43481 2162873 ABB 2007 01.01.2008          
 "ТР В 291 ф.В" ELK-EB3   0209-2-14-43481 2162872 ABB 2007 01.01.2008          
 "ШР В 291 ф.В" ELK-EB3   0209-2-14-43481 2162866 ABB 2007 01.01.2008          
 "ШР В 291 ф.С" ELK-EB3   0209-2-14-43481 2162867 ABB 2007 01.01.2008          
 "ШР В 291 ф.А" ELK-EB3   0209-2-14-43481 2162865 ABB 2007 01.01.2008          
 "ТР В 283 ф.А" ELK-EB3   0209-2-14-43480 2162975 ABB 2007 01.01.2008          
 "ТР В 283 ф.С" ELK-EB3   0209-2-14-43480 2162977 ABB 2007 01.01.2008          
 "ТР В 283 ф.В" ELK-EB3   0209-2-14-43480 2162976 ABB 2007 01.01.2008          
 "ШР В 283 ф.А" ELK-EB3   0209-2-14-43480 2162993 ABB 2007 01.01.2008          
 "ШР В 283 ф.С" ELK-EB3   0209-2-14-43480 2162995 ABB 2007 01.01.2008          
 "ШР В 283 ф.В" ELK-EB3   0209-2-14-43480 2162994 ABB 2007 01.01.2008          
 "ТР В 281 ф.В" ELK-EB3   0209-2-14-43479 2162092 ABB 2007 01.01.2008          
 "ТР В 281 ф.С" ELK-EB3   0209-2-14-43479 2162093 ABB 2007 01.01.2008          
 "ТР В 281 ф.А" ELK-EB3   0209-2-14-43479 2162091 ABB 2007 01.01.2008          
 "ШР В 281 ф.В" ELK-EB3   0209-2-14-43479 2162456 ABB 2007 01.01.2008          
 "ШР В 281 ф.С" ELK-EB3   0209-2-14-43479 2162457 ABB 2007 01.01.2008          
